label,strict_precision,strict_recall,strict_f1,strict_support,relaxed_precision,relaxed_recall,relaxed_f1,relaxed_gold_spans,relaxed_predicted_spans
anecdote,0.21515892420537897,0.43031784841075793,0.28687856560717195,409,0.541905425472868,0.5280493467836898,0.5348876669543385,409,470
testimony,0.36214442013129106,0.4918276374442793,0.4171392564587271,673,0.7498760331504433,0.6659297675353466,0.7054142202190719,665,703
assumption,0.24061433447098976,0.6077586206896551,0.34474327628361856,464,0.473045641470592,0.8115390000837974,0.5976951217609411,463,854
statistics,0.2716049382716049,0.4583333333333333,0.3410852713178294,48,0.6592178753557347,0.5363984310557487,0.5914998518647235,48,42
other,0.02631578947368421,0.03278688524590164,0.029197080291970805,61,0.13984375,0.09272948583166195,0.11151445683679215,59,64
