,gold_assumption,gold_testimony,gold_anecdote,gold_statistics,gold_other
model_prob_assumption,0.8940203434734381,0.16672779942816873,0.34196826497378907,0.14827209246086842,0.6857519430259412
model_prob_testimony,0.021854033179652108,0.7220171201649517,0.02744519469549066,0.1301967045058744,0.005151361524927968
model_prob_anecdote,0.07895459694557563,0.10151877482928172,0.6086735454221475,0.1467719475502459,0.11910491459400223
model_prob_statistics,0.0040428289277275355,0.005810930345091531,0.018584319905308403,0.5724439479832497,0.006131815644043608
model_prob_other,0.001128197473607002,0.003925375232506899,0.003328675003264073,0.002315307499761531,0.18385996521108494
