label,observed_hard_prevalence,observed_hard_percentage,observed_soft_prevalence,observed_soft_percentage,pacc_adjusted_prevalence,pacc_adjusted_percentage
assumption,0.37977768423427144,37.97776842342714,0.38240715368674383,38.24071536867438,0.14810374284159514,14.810374284159513
testimony,0.3140577763186781,31.40577763186781,0.30583464303787167,30.583464303787167,0.3984546906827549,39.84546906827549
anecdote,0.2523157053057295,25.23157053057295,0.25407708175922133,25.407708175922135,0.3002472118400412,30.02472118400412
statistics,0.03352057699783082,3.352057699783082,0.03492043841886751,3.4920438418867508,0.045505115877041445,4.550511587704144
other,0.020328257143490146,2.0328257143490145,0.0227606830972957,2.27606830972957,0.1076892387585673,10.76892387585673
