label,observed_hard_percentage,pacc_adjusted_percentage,difference_percentage_points
assumption,37.97776842342714,14.810374284159513,-23.16739413926763
testimony,31.40577763186781,39.84546906827549,8.439691436407681
anecdote,25.23157053057295,30.02472118400412,4.793150653431173
statistics,3.352057699783082,4.550511587704144,1.1984538879210622
other,2.0328257143490145,10.76892387585673,8.736098161507716
