topics,allsides_bias,assumption,testimony,anecdote,statistics,other
Budget - Debt,From the Center,47.70514603616133,25.312934631432544,17.80250347705146,5.285118219749652,3.8942976356050067
Budget - Debt,From the Left,48.88750259929299,31.877729257641924,15.075899355375338,3.5142441255978376,0.6446246620919109
Budget - Debt,From the Right,48.23644676681907,30.37230568256042,15.774003919007185,3.95166557805356,1.6655780535597648
Economy and Jobs,From the Center,38.57988165680473,23.668639053254438,12.42603550295858,24.142011834319526,1.183431952662722
Economy and Jobs,From the Left,41.988950276243095,25.383670963781462,13.934929404542665,17.71025168815224,0.9821976672805401
Economy and Jobs,From the Right,42.58312020460358,22.058823529411764,10.997442455242968,23.273657289002557,1.0869565217391304
Election: Presidential,From the Center,40.264317180616736,33.691629955947135,18.484581497797357,6.6255506607929515,0.9339207048458149
Election: Presidential,From the Left,45.53143501550606,28.858190019734987,19.1344798421201,5.711869185226952,0.7640259374118974
Election: Presidential,From the Right,43.49711746972021,30.121119162215056,17.58079018352991,7.066165970275559,1.734807214259269
Elections,From the Center,45.8700882117081,22.975140336808337,25.581395348837212,3.889334402566159,1.6840417000801924
Elections,From the Left,48.85375494071146,23.08300395256917,23.146245059288535,4.0,0.9169960474308301
Elections,From the Right,42.32939969214982,29.78450487429451,21.472550025654183,4.976911236531555,1.4366341713699333
Gun Control and Gun Rights,From the Center,31.76470588235294,32.0855614973262,31.44385026737968,2.2459893048128343,2.4598930481283423
Gun Control and Gun Rights,From the Left,37.26267473398707,34.44606718130607,25.057375339036092,2.6079699561861047,0.6259127894846651
Gun Control and Gun Rights,From the Right,43.33090379008747,33.01749271137026,21.1734693877551,1.348396501457726,1.129737609329446
Healthcare,From the Center,40.42372881355932,34.32203389830508,16.35593220338983,5.423728813559322,3.4745762711864407
Healthcare,From the Left,49.229781771501926,30.69640564826701,15.885750962772786,3.6103979460847238,0.5776636713735559
Healthcare,From the Right,46.23202776400595,30.7882994546356,16.06346058502727,5.106593951412989,1.8096182449181955
Immigration,From the Center,34.65991316931983,36.64978292329957,24.276410998552823,2.351664254703328,2.0622286541244574
Immigration,From the Left,42.64860446105337,34.952703491766904,19.747751956090156,2.0787107322200167,0.5722293588695551
Immigration,From the Right,39.15416098226466,36.15279672578445,21.126486065094525,1.929448450594426,1.6371077762619373
Media Bias,From the Center,39.407407407407405,36.074074074074076,21.925925925925927,1.1851851851851851,1.4074074074074074
Media Bias,From the Left,41.155743481324876,32.69908386187456,23.643410852713178,1.8322762508809023,0.6694855532064834
Media Bias,From the Right,43.47231715652769,31.305536568694464,20.2323991797676,3.0758714969241283,1.9138755980861244
Middle East,From the Center,31.887052341597794,39.66942148760331,23.829201101928373,2.6170798898071626,1.997245179063361
Middle East,From the Left,38.62480438184663,36.58059467918623,22.838419405320813,1.3986697965571206,0.5575117370892019
Middle East,From the Right,34.326824254881814,39.13669064748201,23.001027749229188,1.2538540596094554,2.2816032887975335
Politics,From the Center,35.39526574363555,36.176864671728445,24.698526127735594,2.1661456007146045,1.563197856185797
Politics,From the Left,36.40811071773415,34.48342452526553,26.50788542001931,1.853878339233988,0.7467009977470228
Politics,From the Right,33.000777403472405,39.945581756931844,22.98522933402436,2.1896864472661313,1.8787250583052604
Supreme Court,From the Center,30.322287789378123,35.76940535633227,31.2755333635951,1.3163867453472538,1.3163867453472538
Supreme Court,From the Left,36.71328671328671,35.764235764235764,26.42357642357642,0.3996003996003996,0.6993006993006993
Supreme Court,From the Right,36.506127101738386,37.01909375890567,23.852949558278713,0.7694499857509262,1.8523795953263038
Terrorism,From the Center,24.854932301740813,38.78143133462282,33.46228239845261,1.7408123791102514,1.160541586073501
Terrorism,From the Left,25.911708253358924,39.38579654510556,33.29494561740243,0.8573256557901471,0.5502239283429302
Terrorism,From the Right,24.293785310734464,36.75639747424393,36.02525756065138,0.9970089730807578,1.927550681289465
US House,From the Center,38.72296601441813,33.161688980432544,25.437693099897015,1.4418125643666324,1.235839340885685
US House,From the Left,41.28965158606344,34.477379095163805,22.360894435777432,1.2220488819552782,0.6500260010400416
US House,From the Right,40.89012517385257,35.69772832637923,20.445062586926284,1.3444598980064904,1.6226240148354196
US Senate,From the Center,42.534174553102,30.441640378548897,23.817034700315457,2.050473186119874,1.1566771819137749
US Senate,From the Left,44.96011602610587,30.63814358230602,21.59173313995649,1.704133430021755,1.1058738216098623
US Senate,From the Right,44.35655613020992,29.93611195619106,22.817158503194403,1.3386066321874048,1.5515667782172193
Violence in America,From the Center,16.752577319587626,44.48453608247422,35.36082474226804,1.7010309278350515,1.7010309278350515
Violence in America,From the Left,24.131687242798353,38.25514403292181,34.63374485596708,2.1069958847736627,0.8724279835390947
Violence in America,From the Right,22.768720641061066,38.408400110527765,35.28599060513954,1.409229068803537,2.127659574468085
White House,From the Center,33.409155530281495,37.16235427921524,25.959624680125103,2.0756326414557864,1.3932328689223772
White House,From the Left,43.23597232897771,32.936202920830134,20.983858570330515,1.9830899308224441,0.8608762490392006
White House,From the Right,35.11752682677567,39.07766990291262,22.13847726111395,1.7756770567194686,1.890648952478283
World,From the Center,29.673985362608118,36.99268130405855,29.673985362608118,2.4617431803060548,1.1976047904191618
World,From the Left,31.812577065351416,37.23797780517879,29.082261757970755,1.2682754976219834,0.5989078738770477
World,From the Right,30.013192612137203,36.21372031662269,29.848284960422163,1.978891820580475,1.945910290237467
